Address,Coordinates
Arun Jaitley Stadium,"28.637923,77.2431735"
"Arun Jaitley Stadium, Delhi","28.637923,77.2431735"
Barabati Stadium,"20.4807113,85.8685522"
"Barsapara Cricket Stadium, Guwahati","26.1452292,91.73643729999999"
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","26.8113358,81.0153562"
Brabourne Stadium,"18.9322612,72.8247394"
"Brabourne Stadium, Mumbai","18.9322612,72.8247394"
Buffalo Park,"-33.0040,27.9183"
De Beers Diamond Oval,"-28.7432174,24.7971954"
Dr DY Patil Sports Academy,"19.0412987,73.0263854"
"Dr DY Patil Sports Academy, Mumbai","19.0412987,73.0263854"
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"17.7961689,83.3530406"
Dubai International Cricket Stadium,"25.0467472,55.2189468"
Eden Gardens,"22.5646081,88.34326449999999"
"Eden Gardens, Kolkata","22.5646081,88.34326449999999"
Feroz Shah Kotla,"28.634963,77.2426934"
Green Park,"28.5584489,77.2029376"
Himachal Pradesh Cricket Association Stadium,"32.1976301,76.3258269"
"Himachal Pradesh Cricket Association Stadium, Dharamsala","32.1976301,76.3258269"
Holkar Cricket Stadium,"22.7242543,75.87965679999999"
JSCA International Stadium Complex,"23.3102008,85.2748345"
Kingsmead,"-29.147250,31.007722"
M Chinnaswamy Stadium,"12.978813,77.5996565"
"M Chinnaswamy Stadium, Bengaluru","12.978813,77.5996565"
M.Chinnaswamy Stadium,"12.978813,77.5996565"
MA Chidambaram Stadium,"13.0626985,80.27931009999999"
"MA Chidambaram Stadium, Chepauk","13.0626985,80.27931009999999"
"MA Chidambaram Stadium, Chepauk, Chennai","13.0626985,80.27931009999999"
Maharashtra Cricket Association Stadium,"18.6744633,73.7065161"
"Maharashtra Cricket Association Stadium, Pune","18.6744633,73.7065161"
"Narendra Modi Stadium, Ahmedabad","23.0917101,72.5975112"
Nehru Stadium,"28.637923,77.2431735"
New Wanderers Stadium,"-26.1254,28.0544."
Newlands,"-33.9705,18.4685"
OUTsurance Oval,"-29.116678,26.205269"
Punjab Cricket Association IS Bindra Stadium,"30.6908912,76.73753049999999"
"Punjab Cricket Association IS Bindra Stadium, Mohali","30.6908912,76.73753049999999"
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","30.6908912,76.73753049999999"
"Punjab Cricket Association Stadium, Mohali","30.6908912,76.73753049999999"
Rajiv Gandhi International Stadium,"17.4065262,78.5504704"
"Rajiv Gandhi International Stadium, Uppal","17.4065262,78.5504704"
"Rajiv Gandhi International Stadium, Uppal, Hyderabad","17.4065262,78.5504704"
"Sardar Patel Stadium, Motera","23.0917101,72.5975112"
Saurashtra Cricket Association Stadium,"22.3629594,70.7097382"
Sawai Mansingh Stadium,"26.8939864,75.8033493"
"Sawai Mansingh Stadium, Jaipur","26.8939864,75.8033493"
Shaheed Veer Narayan Singh International Stadium,"21.2034271,81.82392449999999"
Sharjah Cricket Stadium,"25.330906,55.4209362"
Sheikh Zayed Stadium,"24.3966996,54.5407903"
St George's Park,"52.8080036,-1.7566156"
Subrata Roy Sahara Stadium,"18.6744633,73.7065161"
SuperSport Park,"-25.8599709,28.19552"
"Vidarbha Cricket Association Stadium, Jamtha","21.0145383,79.0395771"
Wankhede Stadium,"18.9388528,72.82576399999999"
"Wankhede Stadium, Mumbai","18.9388528,72.82576399999999"
"Zayed Cricket Stadium, Abu Dhabi","24.3966996,54.5407903"
