batter,matches_played,total runs,total number of 4s,total number of 6s,total number of Dots,total number of balls_faced,strike_rate
A Ashish Reddy,23,280,16.0,15.0,61.0,196,142.85714285714286
A Badoni,23,399,24.0,19.0,127.0,325,122.76923076923076
A Chandila,2,4,,,3.0,7,57.14285714285714
A Chopra,6,53,7.0,,45.0,75,70.66666666666667
A Choudhary,3,25,1.0,1.0,4.0,20,125.0
A Dananjaya,1,4,,,2.0,5,80.0
A Flintoff,3,62,5.0,2.0,24.0,57,108.77192982456141
A Kumble,15,35,3.0,,24.0,49,71.42857142857143
A Manohar,13,222,20.0,10.0,58.0,165,134.54545454545453
A Mishra,55,381,31.0,5.0,199.0,440,86.5909090909091
A Mithun,6,34,4.0,1.0,11.0,26,130.76923076923077
A Mukund,2,19,1.0,,9.0,23,82.6086956521739
A Nehra,17,41,3.0,1.0,37.0,63,65.07936507936508
A Nortje,11,45,6.0,,19.0,42,107.14285714285714
A Singh,5,2,,,8.0,10,20.0
A Symonds,36,974,74.0,41.0,308.0,781,124.71190781049937
A Tomar,1,4,1.0,,7.0,8,50.0
A Uniyal,2,4,,,3.0,7,57.14285714285714
A Zampa,5,15,1.0,,13.0,25,60.0
AA Bilakhia,7,69,5.0,,43.0,88,78.4090909090909
AA Chavan,3,12,2.0,,5.0,11,109.09090909090908
AA Jhunjhunwala,15,217,19.0,5.0,98.0,218,99.54128440366972
AA Noffke,1,9,1.0,,6.0,12,75.0
AB Agarkar,18,179,13.0,5.0,60.0,160,111.87499999999999
AB Barath,3,42,5.0,1.0,22.0,43,97.67441860465115
AB Dinda,16,26,2.0,,31.0,50,52.0
AB McDonald,9,123,9.0,4.0,38.0,103,119.41747572815532
AB de Villiers,170,5181,414.0,253.0,1115.0,3487,148.58044164037855
AC Blizzard,7,120,21.0,2.0,48.0,91,131.86813186813185
AC Gilchrist,80,2069,239.0,92.0,737.0,1555,133.05466237942122
AC Thomas,4,20,1.0,1.0,8.0,19,105.26315789473684
AC Voges,7,181,15.0,3.0,44.0,143,126.57342657342659
AD Hales,6,148,13.0,6.0,48.0,119,124.36974789915966
AD Mascarenhas,11,79,5.0,1.0,29.0,79,100.0
AD Mathews,41,724,44.0,29.0,207.0,599,120.86811352253757
AD Nath,10,90,7.0,2.0,45.0,99,90.9090909090909
AD Russell,95,2266,151.0,193.0,582.0,1374,164.91994177583697
AF Milne,6,23,,1.0,15.0,31,74.19354838709677
AG Murtaza,3,10,1.0,,7.0,14,71.42857142857143
AG Paunikar,5,49,9.0,,41.0,61,80.32786885245902
AJ Finch,90,2092,214.0,78.0,749.0,1696,123.34905660377358
AJ Hosein,1,16,1.0,1.0,4.0,11,145.45454545454547
AJ Turner,4,3,,,8.0,11,27.27272727272727
AJ Tye,13,91,6.0,5.0,39.0,79,115.18987341772151
AK Markram,31,775,55.0,31.0,182.0,600,129.16666666666669
AL Menaria,23,401,24.0,18.0,152.0,367,109.26430517711172
AM Nayar,50,672,55.0,20.0,234.0,588,114.28571428571428
AM Rahane,159,4400,455.0,96.0,1383.0,3658,120.2843083652269
AN Ahmed,6,36,4.0,1.0,11.0,27,133.33333333333331
AN Ghosh,2,7,1.0,,5.0,8,87.5
AP Dole,2,34,3.0,1.0,7.0,23,147.82608695652172
AP Majumdar,4,87,7.0,2.0,28.0,77,112.98701298701299
AP Tare,27,339,40.0,11.0,142.0,285,118.94736842105263
AR Bawne,1,12,1.0,,4.0,12,100.0
AR Patel,100,1418,88.0,69.0,404.0,1135,124.93392070484582
AS Joseph,5,27,3.0,,16.0,32,84.375
AS Rajpoot,7,26,2.0,1.0,27.0,41,63.41463414634146
AS Raut,16,194,13.0,7.0,67.0,172,112.79069767441861
AS Roy,5,23,3.0,,9.0,21,109.52380952380953
